Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCK06,5.03,Low Fat,0.01,Household,122.08,OUT010,1998,,Tier 3,Grocery Store,121.18
FDV04,7.825,Regular,0.15,Frozen Foods,156.93,OUT045,2002,,Tier 2,Supermarket Type1,1571.29
FDG46,,Regular,0.03,Snack Foods,112.15,OUT027,1985,Medium,Tier 3,Supermarket Type3,5351.03
FDO19,17.7,Regular,0.02,Fruits and Vegetables,50.20,OUT049,1999,Medium,Tier 1,Supermarket Type1,1166.48
NCN05,8.235,Low Fat,0.01,Health and Hygiene,182.30,OUT049,1999,Medium,Tier 1,Supermarket Type1,3661.90
DRA12,11.6,Low Fat,0.00,Soft Drinks,141.62,OUT045,2002,,Tier 2,Supermarket Type1,3829.02
FDJ02,17.2,Regular,0.03,Canned,149.14,OUT049,1999,Medium,Tier 1,Supermarket Type1,1177.13
NCK17,11,Low Fat,0.04,Health and Hygiene,38.95,OUT045,2002,,Tier 2,Supermarket Type1,519.32
FDO58,19.6,Low Fat,0.04,Snack Foods,163.65,OUT013,1987,High,Tier 3,Supermarket Type1,1151.17
FDB22,8.02,Low Fat,0.11,Snack Foods,152.70,OUT049,1999,Medium,Tier 1,Supermarket Type1,3383.60
FDG33,5.365,Regular,0.14,Seafood,172.78,OUT045,2002,,Tier 2,Supermarket Type1,2233.09
FDK58,11.35,Regular,0.05,Snack Foods,101.90,OUT045,2002,,Tier 2,Supermarket Type1,2631.24
DRH49,,Low Fat,0.04,Soft Drinks,82.86,OUT019,1985,Small,Tier 1,Grocery Store,165.12
FDT43,16.35,Low Fat,0.02,Fruits and Vegetables,51.23,OUT046,1997,Small,Tier 1,Supermarket Type1,571.26
NCR38,17.25,Low Fat,0.11,Household,253.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,6040.14
DRI39,13.8,Low Fat,0.10,Dairy,57.49,OUT035,2004,Small,Tier 2,Supermarket Type1,1358.23
NCZ05,8.485,Low Fat,0.06,Health and Hygiene,104.50,OUT035,2004,Small,Tier 2,Supermarket Type1,1238.39
FDU21,11.8,reg,0.08,Snack Foods,32.36,OUT013,1987,High,Tier 3,Supermarket Type1,169.78
NCP54,15.35,Low Fat,0.04,Household,122.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,2832.98
NCX29,10,Low Fat,0.09,Health and Hygiene,145.61,OUT045,2002,,Tier 2,Supermarket Type1,2624.58
FDV01,19.2,Regular,0.00,Canned,153.33,OUT017,2007,,Tier 2,Supermarket Type1,3257.76
NCS17,18.6,Low Fat,0.08,Health and Hygiene,95.24,OUT017,2007,,Tier 2,Supermarket Type1,1796.33
NCN07,18.5,Low Fat,0.03,Others,130.93,OUT013,1987,High,Tier 3,Supermarket Type1,1713.77
FDB14,20.25,Regular,0.10,Canned,94.31,OUT035,2004,Small,Tier 2,Supermarket Type1,2982.78
NCJ18,12.35,Low Fat,0.16,Household,119.21,OUT035,2004,Small,Tier 2,Supermarket Type1,1303.64
FDF57,14.5,Regular,0.06,Fruits and Vegetables,172.24,OUT046,1997,Small,Tier 1,Supermarket Type1,2897.56
DRG01,14.8,Low Fat,0.04,Soft Drinks,78.37,OUT013,1987,High,Tier 3,Supermarket Type1,918.80
FDA02,14,Regular,0.03,Dairy,143.98,OUT018,2009,Medium,Tier 3,Supermarket Type2,866.87
DRJ37,10.8,Low Fat,0.06,Soft Drinks,150.40,OUT017,2007,,Tier 2,Supermarket Type1,2884.25
NCP55,14.65,Low Fat,0.01,Others,53.86,OUT013,1987,High,Tier 3,Supermarket Type1,221.05
FDW45,,Low Fat,0.04,Snack Foods,147.74,OUT027,1985,Medium,Tier 3,Supermarket Type3,1618.56
FDK38,6.65,Low Fat,0.05,Canned,149.37,OUT045,2002,,Tier 2,Supermarket Type1,296.95
NCZ30,6.59,Low Fat,0.04,Household,121.41,OUT010,1998,,Tier 3,Grocery Store,241.02
FDK08,,Regular,0.21,Fruits and Vegetables,102.40,OUT019,1985,Small,Tier 1,Grocery Store,202.40
DRY23,9.395,Regular,0.11,Soft Drinks,42.91,OUT035,2004,Small,Tier 2,Supermarket Type1,426.11
FDT31,19.75,Low Fat,0.01,Fruits and Vegetables,188.29,OUT046,1997,Small,Tier 1,Supermarket Type1,2647.22
FDU52,7.56,Low Fat,0.06,Frozen Foods,154.46,OUT018,2009,Medium,Tier 3,Supermarket Type2,2503.41
NCG19,20.25,Low Fat,0.15,Household,234.86,OUT013,1987,High,Tier 3,Supermarket Type1,2812.34
NCR30,20.6,Low Fat,0.07,Household,76.37,OUT045,2002,,Tier 2,Supermarket Type1,372.85
FDN23,6.575,Regular,0.08,Breads,145.44,OUT045,2002,,Tier 2,Supermarket Type1,2612.60
FDQ01,19.7,Regular,0.16,Canned,254.10,OUT045,2002,,Tier 2,Supermarket Type1,4845.03
FDO22,13.5,Regular,0.03,Snack Foods,81.10,OUT010,1998,,Tier 3,Grocery Store,159.79
DRE13,6.28,Low Fat,0.03,Soft Drinks,85.82,OUT045,2002,,Tier 2,Supermarket Type1,872.20
FDL44,18.25,Low Fat,0.01,Fruits and Vegetables,160.29,OUT035,2004,Small,Tier 2,Supermarket Type1,3235.79
FDT34,9.3,Low Fat,0.17,Snack Foods,106.80,OUT035,2004,Small,Tier 2,Supermarket Type1,841.57
DRM23,16.6,Low Fat,0.14,Hard Drinks,170.64,OUT035,2004,Small,Tier 2,Supermarket Type1,1379.54
FDF32,16.35,Low Fat,0.07,Fruits and Vegetables,198.94,OUT045,2002,,Tier 2,Supermarket Type1,3559.37
NCE18,10,Low Fat,0.02,Household,251.68,OUT045,2002,,Tier 2,Supermarket Type1,4244.48
FDA51,,Regular,0.16,Dairy,113.25,OUT027,1985,Medium,Tier 3,Supermarket Type3,3415.55
DRZ24,7.535,Low Fat,0.08,Soft Drinks,118.34,OUT017,2007,,Tier 2,Supermarket Type1,3115.94
FDT48,4.92,Low Fat,0.05,Baking Goods,196.51,OUT049,1999,Medium,Tier 1,Supermarket Type1,3769.76
DRG11,6.385,Low Fat,0.00,Hard Drinks,108.96,OUT046,1997,Small,Tier 1,Supermarket Type1,1186.46
FDE58,18.5,Low Fat,0.05,Snack Foods,118.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,1540.66
DRA12,11.6,Low Fat,0.04,Soft Drinks,142.32,OUT013,1987,High,Tier 3,Supermarket Type1,2552.68
FDP60,17.35,Low Fat,0.06,Baking Goods,102.00,OUT017,2007,,Tier 2,Supermarket Type1,1619.23
FDT10,16.7,Regular,0.06,Snack Foods,60.96,OUT045,2002,,Tier 2,Supermarket Type1,829.59
FDE05,10.895,Regular,0.03,Frozen Foods,147.71,OUT013,1987,High,Tier 3,Supermarket Type1,1166.48
FDC32,18.35,Low Fat,0.10,Fruits and Vegetables,91.45,OUT045,2002,,Tier 2,Supermarket Type1,1665.83
FDJ22,18.75,Low Fat,0.05,Snack Foods,193.65,OUT017,2007,,Tier 2,Supermarket Type1,2876.26
NCH18,9.3,Low Fat,0.04,Household,246.18,OUT018,2009,Medium,Tier 3,Supermarket Type2,2702.48
DRE37,,Low Fat,0.16,Soft Drinks,189.49,OUT019,1985,Small,Tier 1,Grocery Store,189.09
DRC13,8.26,Regular,0.03,Soft Drinks,124.87,OUT035,2004,Small,Tier 2,Supermarket Type1,2956.15
FDG47,12.8,Low Fat,0.07,Starchy Foods,260.33,OUT046,1997,Small,Tier 1,Supermarket Type1,8132.08
FDY55,16.75,Low Fat,0.08,Fruits and Vegetables,258.40,OUT018,2009,Medium,Tier 3,Supermarket Type2,1541.99
NCW29,,Low Fat,0.03,Health and Hygiene,131.83,OUT027,1985,Medium,Tier 3,Supermarket Type3,3635.27
NCT05,10.895,Low Fat,0.02,Health and Hygiene,255.67,OUT045,2002,,Tier 2,Supermarket Type1,4346.34
FDN50,16.85,Regular,0.03,Canned,93.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,466.06
FDU60,20,Regular,0.10,Baking Goods,169.61,OUT010,1998,,Tier 3,Grocery Store,169.11
FDX02,16,Low Fat,0.06,Dairy,225.04,OUT013,1987,High,Tier 3,Supermarket Type1,5851.05
FDL34,16,Low Fat,0.04,Snack Foods,141.25,OUT049,1999,Medium,Tier 1,Supermarket Type1,2681.84
DRF27,8.93,low fat,0.03,Dairy,152.23,OUT017,2007,,Tier 2,Supermarket Type1,3828.35
FDZ35,9.6,Regular,0.00,Breads,101.70,OUT049,1999,Medium,Tier 1,Supermarket Type1,2373.58
DRF03,,Low Fat,0.05,Dairy,39.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,1096.57
NCO41,,Low Fat,0.02,Health and Hygiene,96.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,2167.84
FDQ59,9.8,Regular,0.06,Breads,85.89,OUT045,2002,,Tier 2,Supermarket Type1,1845.60
NCZ53,9.6,Low Fat,0.02,Health and Hygiene,186.62,OUT018,2009,Medium,Tier 3,Supermarket Type2,1884.21
FDZ33,,Low Fat,0.19,Snack Foods,146.41,OUT019,1985,Small,Tier 1,Grocery Store,147.81
FDD34,7.945,Low Fat,0.02,Snack Foods,161.42,OUT045,2002,,Tier 2,Supermarket Type1,3425.54
NCM06,7.475,Low Fat,0.08,Household,156.07,OUT049,1999,Medium,Tier 1,Supermarket Type1,1853.59
FDY43,14.85,Low Fat,0.10,Fruits and Vegetables,169.75,OUT018,2009,Medium,Tier 3,Supermarket Type2,673.79
DRM23,16.6,Low Fat,0.23,Hard Drinks,173.94,OUT010,1998,,Tier 3,Grocery Store,172.44
FDT20,10.5,Low Fat,0.04,Fruits and Vegetables,39.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,540.63
FDG46,8.63,Regular,0.03,Snack Foods,113.55,OUT013,1987,High,Tier 3,Supermarket Type1,2732.44
FDH10,21,Low Fat,0.05,Snack Foods,193.85,OUT017,2007,,Tier 2,Supermarket Type1,1162.49
FDF24,15.5,Regular,0.03,Baking Goods,82.79,OUT035,2004,Small,Tier 2,Supermarket Type1,1228.40
FDG57,14.7,Low Fat,0.07,Fruits and Vegetables,48.20,OUT046,1997,Small,Tier 1,Supermarket Type1,874.86
FDN44,13.15,LF,0.02,Fruits and Vegetables,157.89,OUT017,2007,,Tier 2,Supermarket Type1,1917.50
FDD32,17.7,Regular,0.04,Fruits and Vegetables,82.63,OUT013,1987,High,Tier 3,Supermarket Type1,731.05
FDI04,,Regular,0.13,Frozen Foods,198.54,OUT019,1985,Small,Tier 1,Grocery Store,790.97
FDA56,9.21,Low Fat,0.01,Fruits and Vegetables,123.14,OUT046,1997,Small,Tier 1,Supermarket Type1,4264.45
DRG51,12.1,Low Fat,0.01,Dairy,166.05,OUT017,2007,,Tier 2,Supermarket Type1,1480.07
FDZ04,9.31,Low Fat,0.04,Frozen Foods,64.55,OUT017,2007,,Tier 2,Supermarket Type1,1581.28
FDT13,14.85,Low Fat,0.02,Canned,188.22,OUT035,2004,Small,Tier 2,Supermarket Type1,3014.74
FDY56,,Regular,0.06,Fruits and Vegetables,223.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,4965.54
FDB51,6.92,LF,0.04,Dairy,64.29,OUT017,2007,,Tier 2,Supermarket Type1,438.10
NCY29,13.65,Low Fat,0.08,Health and Hygiene,55.59,OUT013,1987,High,Tier 3,Supermarket Type1,282.97
FDL34,16,Low Fat,0.04,Snack Foods,142.65,OUT045,2002,,Tier 2,Supermarket Type1,1834.94
NCQ38,16.35,Low Fat,0.01,Others,105.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,1065.28
NCR41,,Low Fat,0.02,Health and Hygiene,93.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,4189.21
FDY24,4.88,Regular,0.22,Baking Goods,52.23,OUT010,1998,,Tier 3,Grocery Store,161.79
NCA42,6.965,Low Fat,0.00,Household,159.66,OUT045,2002,,Tier 2,Supermarket Type1,3327.67
FDB11,16,Low Fat,0.06,Starchy Foods,225.64,OUT049,1999,Medium,Tier 1,Supermarket Type1,2925.53
FDG26,18.85,Low Fat,0.04,Canned,257.83,OUT035,2004,Small,Tier 2,Supermarket Type1,5382.99
FDH24,20.7,Low Fat,0.02,Baking Goods,156.53,OUT035,2004,Small,Tier 2,Supermarket Type1,1571.29
FDX44,9.3,Low Fat,0.04,Fruits and Vegetables,88.52,OUT013,1987,High,Tier 3,Supermarket Type1,1427.48
FDT52,9.695,Regular,0.05,Frozen Foods,244.61,OUT017,2007,,Tier 2,Supermarket Type1,2695.16
FDT04,17.25,Low Fat,0.11,Frozen Foods,39.38,OUT017,2007,,Tier 2,Supermarket Type1,314.26
FDO58,19.6,Low Fat,0.04,Snack Foods,166.15,OUT046,1997,Small,Tier 1,Supermarket Type1,2960.15
FDR60,14.3,Low Fat,0.13,Baking Goods,75.93,OUT046,1997,Small,Tier 1,Supermarket Type1,1158.49
NCL54,12.6,Low Fat,0.08,Household,175.21,OUT045,2002,,Tier 2,Supermarket Type1,3502.11
FDW50,13.1,Low Fat,0.08,Dairy,167.22,OUT013,1987,High,Tier 3,Supermarket Type1,3008.08
FDK43,,Low Fat,0.05,Meat,125.80,OUT019,1985,Small,Tier 1,Grocery Store,253.00
FDQ32,17.85,Regular,0.05,Fruits and Vegetables,123.84,OUT018,2009,Medium,Tier 3,Supermarket Type2,866.87
FDE29,8.905,LF,0.14,Frozen Foods,58.89,OUT046,1997,Small,Tier 1,Supermarket Type1,1151.17
NCN07,18.5,Low Fat,0.03,Others,133.23,OUT045,2002,,Tier 2,Supermarket Type1,2768.40
FDB37,20.25,Regular,0.02,Baking Goods,240.75,OUT013,1987,High,Tier 3,Supermarket Type1,3364.95
FDD21,10.3,Regular,0.03,Fruits and Vegetables,112.72,OUT049,1999,Medium,Tier 1,Supermarket Type1,343.55
FDX16,17.85,Low Fat,0.07,Frozen Foods,151.51,OUT013,1987,High,Tier 3,Supermarket Type1,2546.69
FDN46,7.21,Regular,0.14,Snack Foods,100.53,OUT049,1999,Medium,Tier 1,Supermarket Type1,1127.87
FDV28,16.1,Regular,0.27,Frozen Foods,34.96,OUT010,1998,,Tier 3,Grocery Store,67.91
FDR48,,Low Fat,0.13,Baking Goods,150.80,OUT027,1985,Medium,Tier 3,Supermarket Type3,4402.27
FDW37,,Low Fat,0.12,Canned,89.75,OUT027,1985,Medium,Tier 3,Supermarket Type3,1901.52
FDV40,17.35,Low Fat,0.01,Frozen Foods,74.50,OUT035,2004,Small,Tier 2,Supermarket Type1,739.04
FDZ57,10,Regular,0.04,Snack Foods,129.70,OUT018,2009,Medium,Tier 3,Supermarket Type2,1413.49
FDY46,18.6,Low Fat,0.05,Snack Foods,185.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,2993.44
FDX45,16.75,Low Fat,0.11,Snack Foods,155.26,OUT049,1999,Medium,Tier 1,Supermarket Type1,1721.09
FDB33,17.75,Low Fat,0.01,Fruits and Vegetables,160.73,OUT035,2004,Small,Tier 2,Supermarket Type1,2864.27
FDT58,9,Low Fat,0.14,Snack Foods,169.48,OUT010,1998,,Tier 3,Grocery Store,503.34
FDM39,6.42,Low Fat,0.05,Dairy,178.60,OUT049,1999,Medium,Tier 1,Supermarket Type1,3582.00
NCY41,16.75,LF,0.08,Health and Hygiene,37.65,OUT045,2002,,Tier 2,Supermarket Type1,575.25
NCL31,7.39,Low Fat,0.12,Others,142.75,OUT046,1997,Small,Tier 1,Supermarket Type1,3149.23
NCJ31,19.2,Low Fat,0.18,Others,243.02,OUT046,1997,Small,Tier 1,Supermarket Type1,3374.27
FDO23,,Low Fat,0.26,Breads,94.84,OUT019,1985,Small,Tier 1,Grocery Store,567.26
FDN56,5.46,Regular,0.11,Fruits and Vegetables,144.28,OUT035,2004,Small,Tier 2,Supermarket Type1,288.96
FDF04,17.5,Low Fat,0.00,Frozen Foods,258.33,OUT013,1987,High,Tier 3,Supermarket Type1,3358.30
FDJ44,12.3,Regular,0.11,Fruits and Vegetables,176.14,OUT013,1987,High,Tier 3,Supermarket Type1,3663.23
FDS50,17,Low Fat,0.06,Dairy,220.51,OUT045,2002,,Tier 2,Supermarket Type1,5321.07
NCQ41,,Low Fat,0.02,Health and Hygiene,194.58,OUT027,1985,Medium,Tier 3,Supermarket Type3,3511.43
FDA49,19.7,Low Fat,0.06,Canned,88.12,OUT046,1997,Small,Tier 1,Supermarket Type1,1744.40
NCZ06,19.6,Low Fat,0.09,Household,254.97,OUT017,2007,,Tier 2,Supermarket Type1,2536.70
NCM43,14.5,Low Fat,0.02,Others,162.42,OUT018,2009,Medium,Tier 3,Supermarket Type2,1957.45
FDH19,19.35,Low Fat,0.03,Meat,172.47,OUT013,1987,High,Tier 3,Supermarket Type1,1911.51
FDS15,9.195,Regular,0.08,Meat,106.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,4098.66
FDO50,16.25,LF,0.00,Canned,90.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,1653.85
FDJ20,20.7,Regular,0.10,Fruits and Vegetables,123.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,1981.42
NCI31,20,low fat,0.14,Others,38.32,OUT010,1998,,Tier 3,Grocery Store,146.48
FDU20,,Regular,0.02,Fruits and Vegetables,122.11,OUT027,1985,Medium,Tier 3,Supermarket Type3,3374.27
DRK13,11.8,Low Fat,0.12,Soft Drinks,199.81,OUT046,1997,Small,Tier 1,Supermarket Type1,2380.90
DRJ24,11.8,Low Fat,0.11,Soft Drinks,184.29,OUT045,2002,,Tier 2,Supermarket Type1,1850.92
FDI20,19.1,Low Fat,0.04,Fruits and Vegetables,212.16,OUT045,2002,,Tier 2,Supermarket Type1,5909.64
FDF10,15.5,Regular,0.16,Snack Foods,145.64,OUT045,2002,,Tier 2,Supermarket Type1,2207.13
FDQ45,9.5,Regular,0.01,Snack Foods,185.36,OUT046,1997,Small,Tier 1,Supermarket Type1,2021.37
FDQ10,12.85,Low Fat,0.03,Snack Foods,172.04,OUT035,2004,Small,Tier 2,Supermarket Type1,5345.71
FDM36,11.65,Regular,0.06,Baking Goods,171.14,OUT035,2004,Small,Tier 2,Supermarket Type1,2931.52
FDN12,15.6,Low Fat,0.00,Baking Goods,111.85,OUT018,2009,Medium,Tier 3,Supermarket Type2,1454.11
FDD50,18.85,Low Fat,0.14,Canned,168.41,OUT013,1987,High,Tier 3,Supermarket Type1,2874.92
FDG17,6.865,Regular,0.04,Frozen Foods,244.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,6353.06
FDY58,11.65,Low Fat,0.04,Snack Foods,227.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,4567.39
NCK29,,Low Fat,0.00,Health and Hygiene,123.47,OUT019,1985,Small,Tier 1,Grocery Store,369.52
FDM32,20.5,Low Fat,0.00,Fruits and Vegetables,90.88,OUT010,1998,,Tier 3,Grocery Store,89.88
FDL46,20.35,Low Fat,0.05,Snack Foods,116.85,OUT046,1997,Small,Tier 1,Supermarket Type1,2356.93
FDC51,10.895,Regular,0.01,Dairy,121.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,2463.46
FDF16,7.3,Low Fat,0.09,Frozen Foods,147.21,OUT049,1999,Medium,Tier 1,Supermarket Type1,1921.50
NCV54,11.1,Low Fat,0.03,Household,116.51,OUT013,1987,High,Tier 3,Supermarket Type1,1066.61
FDE35,7.06,Regular,0.04,Starchy Foods,60.29,OUT045,2002,,Tier 2,Supermarket Type1,644.49
FDA23,9.8,Low Fat,0.05,Baking Goods,99.40,OUT035,2004,Small,Tier 2,Supermarket Type1,2428.84
FDI46,9.5,Low Fat,0.07,Snack Foods,251.97,OUT045,2002,,Tier 2,Supermarket Type1,2516.72
FDZ21,17.6,Regular,0.04,Snack Foods,97.34,OUT013,1987,High,Tier 3,Supermarket Type1,965.41
DRK13,11.8,Low Fat,0.12,Soft Drinks,198.31,OUT017,2007,,Tier 2,Supermarket Type1,4563.39
FDX36,9.695,Regular,0.13,Baking Goods,226.94,OUT017,2007,,Tier 2,Supermarket Type1,2700.48
FDY22,16.5,Regular,0.16,Snack Foods,143.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,1581.94
FDR32,,Regular,0.09,Fruits and Vegetables,226.77,OUT027,1985,Medium,Tier 3,Supermarket Type3,6165.97
DRF25,9,Low Fat,0.04,Soft Drinks,34.92,OUT046,1997,Small,Tier 1,Supermarket Type1,476.05
FDK20,12.6,Regular,0.04,Fruits and Vegetables,124.51,OUT046,1997,Small,Tier 1,Supermarket Type1,2450.14
DRI11,,Low Fat,0.06,Hard Drinks,115.98,OUT019,1985,Small,Tier 1,Grocery Store,345.55
FDH05,14.35,Regular,0.09,Frozen Foods,233.60,OUT045,2002,,Tier 2,Supermarket Type1,1853.59
FDA46,13.6,Low Fat,0.12,Snack Foods,193.61,OUT045,2002,,Tier 2,Supermarket Type1,4471.51
DRD24,13.85,Low Fat,0.03,Soft Drinks,143.32,OUT046,1997,Small,Tier 1,Supermarket Type1,1985.42
FDL39,16.1,Regular,0.06,Dairy,181.93,OUT017,2007,,Tier 2,Supermarket Type1,5954.25
FDD52,18.25,Regular,0.18,Dairy,110.16,OUT018,2009,Medium,Tier 3,Supermarket Type2,1867.57
FDR55,12.15,reg,0.13,Fruits and Vegetables,190.69,OUT017,2007,,Tier 2,Supermarket Type1,2269.05
DRI13,15.35,Low Fat,0.02,Soft Drinks,216.45,OUT017,2007,,Tier 2,Supermarket Type1,5426.27
FDG31,,Low Fat,0.04,Meat,64.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,2518.72
FDP04,15.35,Low Fat,0.01,Frozen Foods,65.22,OUT045,2002,,Tier 2,Supermarket Type1,958.75
FDH35,18.25,Low Fat,0.06,Starchy Foods,162.95,OUT013,1987,High,Tier 3,Supermarket Type1,1151.17
NCB42,11.8,Low Fat,0.01,Health and Hygiene,117.25,OUT035,2004,Small,Tier 2,Supermarket Type1,2432.83
FDQ14,9.27,Low Fat,0.06,Dairy,147.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,1647.86
FDI19,,Low Fat,0.05,Meat,242.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,5816.43
FDJ55,12.8,Regular,0.04,Meat,224.84,OUT010,1998,,Tier 3,Grocery Store,1575.28
DRN59,15,Low Fat,0.06,Hard Drinks,45.21,OUT049,1999,Medium,Tier 1,Supermarket Type1,792.30
NCR06,12.5,Low Fat,0.01,Household,42.81,OUT013,1987,High,Tier 3,Supermarket Type1,639.17
NCF42,17.35,Low Fat,0.17,Household,176.27,OUT013,1987,High,Tier 3,Supermarket Type1,2988.11
FDG24,7.975,Low Fat,0.01,Baking Goods,84.73,OUT018,2009,Medium,Tier 3,Supermarket Type2,1747.73
FDB58,10.5,Regular,0.01,Snack Foods,142.02,OUT018,2009,Medium,Tier 3,Supermarket Type2,2410.86
FDQ56,,Low Fat,0.11,Fruits and Vegetables,82.39,OUT027,1985,Medium,Tier 3,Supermarket Type3,3691.20
NCV41,14.35,Low Fat,0.02,Health and Hygiene,112.52,OUT046,1997,Small,Tier 1,Supermarket Type1,1989.41
FDW19,12.35,Regular,0.04,Fruits and Vegetables,110.66,OUT017,2007,,Tier 2,Supermarket Type1,2087.28
FDO56,10.195,Regular,0.08,Fruits and Vegetables,119.18,OUT010,1998,,Tier 3,Grocery Store,351.54
FDI41,18.5,Regular,0.00,Frozen Foods,148.74,OUT045,2002,,Tier 2,Supermarket Type1,2501.41
FDN10,11.5,Low Fat,0.00,Snack Foods,119.51,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.59
FDY20,12.5,Regular,0.08,Fruits and Vegetables,92.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,1358.23
DRM37,,LF,0.10,Soft Drinks,198.58,OUT027,1985,Medium,Tier 3,Supermarket Type3,6897.69
FDV34,10.695,Regular,0.01,Snack Foods,72.90,OUT045,2002,,Tier 2,Supermarket Type1,1034.65
NCX18,14.15,Low Fat,0.01,Household,195.01,OUT035,2004,Small,Tier 2,Supermarket Type1,1964.11
FDY10,17.6,Low Fat,0.05,Snack Foods,114.92,OUT045,2002,,Tier 2,Supermarket Type1,1946.80
NCZ17,,Low Fat,0.08,Health and Hygiene,39.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,1480.07
FDT12,6.215,Regular,0.05,Baking Goods,227.41,OUT013,1987,High,Tier 3,Supermarket Type1,5191.24
FDD57,18.1,Low Fat,0.02,Fruits and Vegetables,96.01,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.98
FDK45,11.65,Low Fat,0.03,Seafood,111.59,OUT045,2002,,Tier 2,Supermarket Type1,3395.58
FDJ57,7.42,Regular,0.02,Seafood,185.06,OUT045,2002,,Tier 2,Supermarket Type1,5201.23
NCI31,20,Low Fat,0.08,Others,36.82,OUT049,1999,Medium,Tier 1,Supermarket Type1,769.00
FDZ48,17.75,LF,0.08,Baking Goods,112.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.94
FDI16,14,Regular,0.14,Frozen Foods,54.56,OUT046,1997,Small,Tier 1,Supermarket Type1,1597.92
FDZ31,15.35,Regular,0.00,Fruits and Vegetables,193.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,2492.76
DRG15,6.13,Low Fat,0.08,Dairy,61.55,OUT045,2002,,Tier 2,Supermarket Type1,796.30
FDX36,9.695,Regular,0.13,Baking Goods,226.54,OUT045,2002,,Tier 2,Supermarket Type1,4500.81
FDD40,20.25,Regular,0.01,Dairy,191.52,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.66
FDA04,,Regular,0.07,Frozen Foods,259.80,OUT027,1985,Medium,Tier 3,Supermarket Type3,5697.92
FDL21,15.85,Regular,0.01,Snack Foods,40.85,OUT013,1987,High,Tier 3,Supermarket Type1,679.12
FDS21,19.85,Regular,0.02,Snack Foods,62.82,OUT013,1987,High,Tier 3,Supermarket Type1,928.79
DRF23,4.61,Low Fat,0.12,Hard Drinks,172.54,OUT017,2007,,Tier 2,Supermarket Type1,3663.23
FDM46,7.365,Low Fat,0.16,Snack Foods,93.91,OUT035,2004,Small,Tier 2,Supermarket Type1,1304.97
DRG49,,Low Fat,0.07,Soft Drinks,242.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,3420.88
FDG26,18.85,low fat,0.04,Canned,255.93,OUT045,2002,,Tier 2,Supermarket Type1,3845.00
FDR51,,Regular,0.17,Meat,148.47,OUT027,1985,Medium,Tier 3,Supermarket Type3,3761.77
FDV39,11.3,Low Fat,0.01,Meat,196.74,OUT035,2004,Small,Tier 2,Supermarket Type1,2768.40
FDC39,7.405,Low Fat,0.00,Dairy,205.73,OUT017,2007,,Tier 2,Supermarket Type1,4570.05
FDP45,15.7,Regular,0.03,Snack Foods,252.97,OUT017,2007,,Tier 2,Supermarket Type1,3020.07
FDC56,7.72,Low Fat,0.12,Fruits and Vegetables,118.24,OUT046,1997,Small,Tier 1,Supermarket Type1,958.75
FDK38,6.65,Low Fat,0.05,Canned,149.77,OUT017,2007,,Tier 2,Supermarket Type1,2375.57
NCJ29,10.6,low fat,0.04,Health and Hygiene,84.42,OUT013,1987,High,Tier 3,Supermarket Type1,852.22
NCF19,,Low Fat,0.06,Household,48.60,OUT019,1985,Small,Tier 1,Grocery Store,145.81
FDG59,15.85,Low Fat,0.04,Starchy Foods,37.52,OUT035,2004,Small,Tier 2,Supermarket Type1,270.31
FDE59,12.15,Low Fat,0.06,Starchy Foods,36.65,OUT017,2007,,Tier 2,Supermarket Type1,251.67
FDB04,11.35,Regular,0.06,Dairy,89.49,OUT017,2007,,Tier 2,Supermarket Type1,1142.51
